date,tier,prize_eur,winners_total,winners_pt,rollover
2004-10-08,5+2,10000000.00,0,0,1
2004-10-08,5+1,0.00,0,0,0
2004-10-08,5+0,860114.80,2,0,0
2004-10-08,4+2,5029.91,54,5,0
2004-10-08,4+1,231.55,782,113,0
2004-10-08,4+0,105.98,1196,153,0
2004-10-08,3+2,66.18,2736,482,0
2004-10-08,3+1,26.44,34915,5288,0
2004-10-08,2+2,20.57,38727,7959,0
2004-10-08,3+0,15.07,56457,9031,0
2004-10-08,1+2,9.19,198885,44083,0
2004-10-08,2+1,8.86,490426,83699,0
2004-10-15,5+2,17276072.20,0,0,1
2004-10-15,5+1,719157.60,2,0,0
2004-10-15,5+0,204085.26,2,0,0
2004-10-15,4+2,5399.08,54,9,0
2004-10-15,4+1,296.74,655,89,0
2004-10-15,4+0,154.96,878,133,0
2004-10-15,3+2,71.88,2704,576,0
2004-10-15,3+1,30.43,32569,5941,0
2004-10-15,2+2,18.70,45712,12376,0
2004-10-15,3+0,21.44,42590,7213,0
2004-10-15,1+2,7.73,253871,73246,0
2004-10-15,2+1,9.02,516956,120741,0
2004-10-22,5+2,25059130.00,1,0,0
2004-10-22,5+1,123757.42,13,6,0
2004-10-22,5+0,35120.34,13,7,0
2004-10-22,4+2,4658.82,70,24,0
2004-10-22,4+1,164.58,1321,504,0
2004-10-22,4+0,90.10,1689,633,0
2004-10-22,3+2,69.72,3118,1000,0
2004-10-22,3+1,23.02,48148,15681,0
2004-10-22,2+2,22.96,41664,11623,0
2004-10-22,3+0,15.37,66448,20683,0
2004-10-22,1+2,10.73,204472,52344,0
2004-10-22,2+1,8.23,633988,184544,0
2004-10-29,5+2,10000000.00,0,0,1
2004-10-29,5+1,349475.04,4,0,0
2004-10-29,5+0,99175.35,4,0,0
2004-10-29,4+2,6746.62,42,10,0
2004-10-29,4+1,443.43,426,76,0
2004-10-29,4+0,186.24,710,163,0
2004-10-29,3+2,98.38,1920,470,0
2004-10-29,3+1,37.47,25708,6369,0
2004-10-29,2+2,26.73,31087,8011,0
2004-10-29,3+0,21.04,42192,11472,0
2004-10-29,1+2,10.62,179515,44108,0
2004-10-29,2+1,10.52,430565,108899,0
2004-11-05,5+2,17253133.50,0,0,1
2004-11-05,5+1,0.00,0,0,0
2004-11-05,5+0,918290.18,2,0,0
2004-11-05,4+2,8055.17,36,6,0
2004-11-05,4+1,303.49,637,112,0
2004-11-05,4+0,141.25,958,162,0
2004-11-05,3+2,98.58,1961,332,0
2004-11-05,3+1,32.99,29878,5234,0
2004-11-05,2+2,28.59,29744,5641,0
2004-11-05,3+0,19.91,45614,8001,0
2004-11-05,1+2,12.34,158141,30981,0
2004-11-05,2+1,10.10,459329,88266,0
2004-11-12,5+2,24828113.30,0,0,1
2004-11-12,5+1,384714.21,4,0,0
2004-11-12,5+0,72783.77,6,1,0
2004-11-12,4+2,4520.73,69,23,0
2004-11-12,4+1,207.12,1004,289,0
2004-11-12,4+0,88.00,1654,441,0
2004-11-12,3+2,67.25,3092,809,0
2004-11-12,3+1,21.87,48478,13313,0
2004-11-12,2+2,21.97,41634,11033,0
2004-11-12,3+0,13.10,74587,19900,0
2004-11-12,1+2,10.27,204365,52478,0
2004-11-12,2+1,7.65,652155,178088,0
2004-11-19,5+2,33437557.40,0,0,1
2004-11-19,5+1,0.00,0,0,0
2004-11-19,5+0,807419.97,3,0,0
2004-11-19,4+2,7082.63,54,15,0
2004-11-19,4+1,346.43,736,154,0
2004-11-19,4+0,149.73,1192,219,0
2004-11-19,3+2,84.09,3032,741,0
2004-11-19,3+1,36.14,35974,7811,0
2004-11-19,2+2,23.18,48395,14147,0
2004-11-19,3+0,20.98,57097,12746,0
2004-11-19,1+2,8.94,287906,90927,0
2004-11-19,2+1,10.65,574251,139422,0
2004-11-26,5+2,43756502.00,1,1,0
2004-11-26,5+1,492365.33,5,0,0
2004-11-26,5+0,87328.31,8,2,0
2004-11-26,4+2,6566.03,76,18,0
2004-11-26,4+1,317.13,1049,180,0
2004-11-26,4+0,131.94,1765,365,0
2004-11-26,3+2,94.88,3506,829,0
2004-11-26,3+1,31.56,53743,12031,0
2004-11-26,2+2,27.39,53428,12731,0
2004-11-26,3+0,17.95,87104,19192,0
2004-11-26,1+2,11.70,287058,68239,0
2004-11-26,2+1,9.91,805386,185699,0
2004-12-03,5+2,10000000.00,0,0,1
2004-12-03,5+1,400964.33,4,0,0
2004-12-03,5+0,113787.17,4,2,0
2004-12-03,4+2,7067.52,46,9,0
2004-12-03,4+1,313.20,692,148,0
2004-12-03,4+0,141.79,1070,235,0
2004-12-03,3+2,107.34,2019,486,0
2004-12-03,3+1,31.42,35174,9036,0
2004-12-03,2+2,28.08,33954,8889,0
2004-12-03,3+0,18.64,54648,13935,0
2004-12-03,1+2,11.72,186692,51276,0
2004-12-03,2+1,9.26,561512,154445,0
2004-12-10,5+2,17892320.40,0,0,1
2004-12-10,5+1,822799.34,2,1,0
2004-12-10,5+0,58374.27,8,2,0
2004-12-10,4+2,4905.40,68,17,0
2004-12-10,4+1,231.64,960,273,0
2004-12-10,4+0,95.09,1637,497,0
2004-12-10,3+2,64.03,3473,1016,0
2004-12-10,3+1,22.34,50766,15620,0
2004-12-10,2+2,20.53,47651,13792,0
2004-12-10,3+0,13.08,79864,25102,0
2004-12-10,1+2,9.32,240983,69195,0
2004-12-10,2+1,8.12,657275,197748,0
2004-12-17,5+2,26215627.00,1,0,0
2004-12-17,5+1,298427.77,6,0,0
2004-12-17,5+0,254066.89,2,0,0
2004-12-17,4+2,7561.51,48,5,0
2004-12-17,4+1,326.54,741,130,0
2004-12-17,4+0,150.96,1122,163,0
2004-12-17,3+2,104.16,2323,432,0
2004-12-17,3+1,33.63,36694,7615,0
2004-12-17,2+2,28.85,36898,8468,0
2004-12-17,3+0,20.33,55916,11525,0
2004-12-17,1+2,11.99,203660,50858,0
2004-12-17,2+1,9.60,604315,152168,0
2004-12-24,5+2,10000000.00,1,0,0
2004-12-24,5+1,0.00,0,0,0
2004-12-24,5+0,431942.20,5,1,0
2004-12-24,4+2,6314.94,54,10,0
2004-12-24,4+1,278.25,817,207,0
2004-12-24,4+0,137.78,1155,273,0
2004-12-24,3+2,90.32,2517,674,0
2004-12-24,3+1,26.88,43118,12711,0
2004-12-24,2+2,25.52,39186,10418,0
2004-12-24,3+0,18.59,57468,14761,0
2004-12-24,1+2,11.17,205382,53081,0
2004-12-24,2+1,8.00,681686,209671,0
2004-12-31,5+2,10000000.00,0,0,1
2004-12-31,5+1,213961.61,8,1,0
2004-12-31,5+0,60718.83,8,2,0
2004-12-31,4+2,8261.06,42,10,0
2004-12-31,4+1,296.55,780,148,0
2004-12-31,4+0,132.28,1224,213,0
2004-12-31,3+2,113.44,2039,395,0
2004-12-31,3+1,29.99,39329,8309,0
2004-12-31,2+2,33.91,30009,5988,0
2004-12-31,3+0,18.35,59237,12284,0
2004-12-31,1+2,14.94,156286,33007,0
2004-12-31,2+1,8.99,617491,144686,0
2005-01-07,5+2,17730869.80,0,0,1
2005-01-07,5+1,318258.51,5,0,0
2005-01-07,5+0,451583.03,1,1,0
2005-01-07,4+2,6582.84,49,13,0
2005-01-07,4+1,250.62,858,235,0
2005-01-07,4+0,127.89,1177,273,0
2005-01-07,3+2,105.82,2032,503,0
2005-01-07,3+1,26.52,41342,12228,0
2005-01-07,2+2,30.23,31289,7761,0
2005-01-07,3+0,19.26,52455,13373,0
2005-01-07,1+2,13.73,158116,38500,0
2005-01-07,2+1,8.41,613595,177288,0
2005-01-14,5+2,13003681.00,2,0,0
2005-01-14,5+1,253545.65,7,0,0
2005-01-14,5+0,50366.50,10,3,0
2005-01-14,4+2,4612.31,78,17,0
2005-01-14,4+1,174.30,1376,358,0
2005-01-14,4+0,78.48,2139,539,0
2005-01-14,3+2,74.90,3202,753,0
2005-01-14,3+1,22.30,54845,15407,0
2005-01-14,2+2,24.86,42445,10407,0
2005-01-14,3+0,12.99,86756,24322,0
2005-01-14,1+2,11.91,203237,49368,0
2005-01-14,2+1,8.21,700935,198171,0
2005-01-21,5+2,10000000.00,0,0,1
2005-01-21,5+1,80527.58,19,5,0
2005-01-21,5+0,27137.25,16,3,0
2005-01-21,4+2,1891.09,164,53,0
2005-01-21,4+1,124.25,1664,559,0
2005-01-21,4+0,64.81,2233,696,0
2005-01-21,3+2,42.23,4895,1618,0
2005-01-21,3+1,19.07,55286,16657,0
2005-01-21,2+2,15.22,59755,18492,0
2005-01-21,3+0,13.10,74141,20946,0
2005-01-21,1+2,7.54,276854,85806,0
2005-01-21,2+1,7.46,664418,188498,0
2005-01-28,5+2,17700364.60,0,0,1
2005-01-28,5+1,263505.29,6,1,0
2005-01-28,5+0,149557.05,3,0,0
2005-01-28,4+2,4451.10,72,15,0
2005-01-28,4+1,266.40,802,122,0
2005-01-28,4+0,168.04,890,143,0
2005-01-28,3+2,55.25,3867,844,0
2005-01-28,3+1,27.65,39398,8852,0
2005-01-28,2+2,15.85,59278,15124,0
2005-01-28,3+0,21.50,46692,10068,0
2005-01-28,1+2,7.23,298174,77681,0
2005-01-28,2+1,8.48,604496,153771,0
2005-02-04,5+2,25868029.60,0,0,1
2005-02-04,5+1,1738214.56,1,0,0
2005-02-04,5+0,70468.15,7,1,0
2005-02-04,4+2,6406.19,55,12,0
2005-02-04,4+1,202.14,1162,292,0
2005-02-04,4+0,97.63,1684,477,0
2005-02-04,3+2,99.40,2363,491,0
2005-02-04,3+1,24.42,49048,13555,0
2005-02-04,2+2,30.84,33511,7125,0
2005-02-04,3+0,14.99,73635,21584,0
2005-02-04,1+2,14.32,165573,35379,0
2005-02-04,2+1,8.45,666511,180742,0
2005-02-11,5+2,34776948.00,1,0,0
2005-02-11,5+1,331257.50,6,1,0
2005-02-11,5+0,62670.33,9,1,0
2005-02-11,4+2,4379.13,92,20,0
2005-02-11,4+1,230.34,1166,257,0
2005-02-11,4+0,112.17,1676,371,0
2005-02-11,3+2,69.92,3841,926,0
2005-02-11,3+1,26.30,52069,12168,0
2005-02-11,2+2,22.55,52393,12293,0
2005-02-11,3+0,15.80,79867,20498,0
2005-02-11,1+2,10.29,263612,61631,0
2005-02-11,2+1,8.79,733118,180478,0
2005-02-18,5+2,10000000.00,1,1,0
2005-02-18,5+1,1544014.81,1,0,0
2005-02-18,5+0,219083.18,2,0,0
2005-02-18,4+2,7451.80,42,8,0
2005-02-18,4+1,400.48,521,91,0
2005-02-18,4+0,184.64,791,158,0
2005-02-18,3+2,132.89,1570,369,0
2005-02-18,3+1,37.10,28677,6484,0
2005-02-18,2+2,38.35,23933,5273,0
2005-02-18,3+0,21.03,46612,11439,0
2005-02-18,1+2,15.49,136043,30626,0
2005-02-18,2+1,10.40,481284,126240,0
2005-02-25,5+2,10000000.00,0,0,1
2005-02-25,5+1,375182.49,4,1,0
2005-02-25,5+0,70980.47,6,1,0
2005-02-25,4+2,6760.04,45,5,0
2005-02-25,4+1,340.84,595,137,0
2005-02-25,4+0,141.25,1005,227,0
2005-02-25,3+2,95.88,2115,524,0
2005-02-25,3+1,34.71,29795,7665,0
2005-02-25,2+2,26.92,33143,8476,0
2005-02-25,3+0,19.02,50104,12871,0
2005-02-25,1+2,10.80,189642,51341,0
2005-02-25,2+1,10.58,459908,119397,0
2005-03-04,5+2,17882838.80,0,0,1
2005-03-04,5+1,821204.71,2,0,0
2005-03-04,5+0,155363.05,3,1,0
2005-03-04,4+2,5284.45,63,11,0
2005-03-04,4+1,243.36,912,138,0
2005-03-04,4+0,110.89,1401,181,0
2005-03-04,3+2,91.90,2415,522,0
2005-03-04,3+1,29.79,37996,8013,0
2005-03-04,2+2,28.80,33900,7920,0
2005-03-04,3+0,18.29,57013,12759,0
2005-03-04,1+2,12.01,186629,45966,0
2005-03-04,2+1,9.82,542310,139544,0
2005-03-11,5+2,26371828.70,0,0,1
2005-03-11,5+1,615432.19,3,0,0
2005-03-11,5+0,65493.62,8,0,0
2005-03-11,4+2,6804.53,55,7,0
2005-03-11,4+1,247.02,1010,238,0
2005-03-11,4+0,94.15,1855,482,0
2005-03-11,3+2,105.45,2366,577,0
2005-03-11,3+1,29.84,42636,10749,0
2005-03-11,2+2,30.57,35906,9171,0
2005-03-11,3+0,15.73,74524,20497,0
2005-03-11,1+2,13.26,190039,50525,0
2005-03-11,2+1,9.79,611614,162138,0
2005-03-18,5+2,35429502.30,0,0,1
2005-03-18,5+1,1018790.56,2,2,0
2005-03-18,5+0,115646.49,5,2,0
2005-03-18,4+2,5363.93,77,7,0
2005-03-18,4+1,291.68,944,208,0
2005-03-18,4+0,157.59,1223,251,0
2005-03-18,3+2,70.74,3892,889,0
2005-03-18,3+1,31.37,44757,10609,0
2005-03-18,2+2,19.98,60619,14819,0
2005-03-18,3+0,21.58,59959,14032,0
2005-03-18,1+2,8.04,345484,94056,0
2005-03-18,2+1,9.82,672573,169157,0
2005-03-25,5+2,45218910.20,0,0,1
2005-03-25,5+1,761236.64,3,0,0
2005-03-25,5+0,324039.92,2,1,0
2005-03-25,4+2,9849.23,47,13,0
2005-03-25,4+1,396.16,779,192,0
2005-03-25,4+0,179.72,1202,332,0
2005-03-25,3+2,106.38,2901,765,0
2005-03-25,3+1,33.65,46771,13265,0
2005-03-25,2+2,30.19,44970,12033,0
2005-03-25,3+0,20.07,72264,20431,0
2005-03-25,1+2,12.16,256185,69750,0
2005-03-25,2+1,10.32,717630,199821,0
2005-04-01,5+2,53793484.10,0,0,1
2005-04-01,5+1,1442087.43,2,0,0
2005-04-01,5+0,409241.02,2,1,0
2005-04-01,4+2,6878.00,85,10,0
2005-04-01,4+1,371.90,1048,214,0
2005-04-01,4+0,195.43,1396,254,0
2005-04-01,3+2,82.40,4730,1164,0
2005-04-01,3+1,37.96,52359,11995,0
2005-04-01,2+2,21.27,80599,20847,0
2005-04-01,3+0,23.50,77931,18681,0
2005-04-01,1+2,7.88,498976,140697,0
2005-04-01,2+1,11.24,832110,200471,0
2005-04-08,5+2,64040749.00,1,0,0
2005-04-08,5+1,344680.72,10,1,0
2005-04-08,5+0,97814.79,10,3,0
2005-04-08,4+2,5458.41,128,17,0
2005-04-08,4+1,233.47,1995,417,0
2005-04-08,4+0,106.79,3053,548,0
2005-04-08,3+2,80.89,5758,1259,0
2005-04-08,3+1,27.18,87391,20424,0
2005-04-08,2+2,25.67,79817,18406,0
2005-04-08,3+0,15.94,137270,31292,0
2005-04-08,1+2,11.74,400597,95821,0
2005-04-08,2+1,9.21,1213222,291413,0
2005-04-15,5+2,15000000.00,0,0,1
2005-04-15,5+1,1885108.78,1,0,0
2005-04-15,5+0,106992.66,5,1,0
2005-04-15,4+2,6588.21,58,17,0
2005-04-15,4+1,279.01,913,303,0
2005-04-15,4+0,127.55,1398,420,0
2005-04-15,3+2,99.93,2549,692,0
2005-04-15,3+1,32.21,40327,11842,0
2005-04-15,2+2,29.43,38074,10459,0
2005-04-15,3+0,19.04,62875,18351,0
2005-04-15,1+2,11.85,216983,59875,0
2005-04-15,2+1,10.19,599483,170321,0
2005-04-22,5+2,11874779.00,2,1,0
2005-04-22,5+1,84084.41,23,18,0
2005-04-22,5+0,19600.75,28,22,0
2005-04-22,4+2,3563.77,110,40,0
2005-04-22,4+1,172.96,1511,504,0
2005-04-22,4+0,85.40,2142,758,0
2005-04-22,3+2,52.08,5018,1627,0
2005-04-22,3+1,21.63,61602,19269,0
2005-04-22,2+2,17.04,67466,21561,0
2005-04-22,3+0,14.34,85606,25694,0
2005-04-22,1+2,8.20,321796,101880,0
2005-04-22,2+1,7.68,816173,251352,0
2005-04-29,5+2,15000000.00,0,0,1
2005-04-29,5+1,1737261.59,1,0,0
2005-04-29,5+0,246503.33,2,1,0
2005-04-29,4+2,8189.47,43,15,0
2005-04-29,4+1,332.52,706,201,0
2005-04-29,4+0,136.37,1205,373,0
2005-04-29,3+2,114.35,2053,528,0
2005-04-29,3+1,33.29,35963,10816,0
2005-04-29,2+2,33.13,31176,8079,0
2005-04-29,3+0,16.89,65293,20921,0
2005-04-29,1+2,14.08,168303,42204,0
2005-04-29,2+1,10.16,554364,165175,0
2005-05-06,5+2,23445886.30,0,0,1
2005-05-06,5+1,305299.69,6,0,0
2005-05-06,5+0,86639.10,6,2,0
2005-05-06,4+2,5381.31,69,16,0
2005-05-06,4+1,215.62,1148,346,0
2005-05-06,4+0,84.64,2047,613,0
2005-05-06,3+2,78.08,3170,1014,0
2005-05-06,3+1,25.71,49090,14056,0
2005-05-06,2+2,23.89,45588,14324,0
2005-05-06,3+0,13.40,86798,25560,0
2005-05-06,1+2,11.17,223648,70034,0
2005-05-06,2+1,8.70,682587,198979,0
2005-05-13,5+2,33145554.30,0,0,1
2005-05-13,5+1,375587.44,6,1,0
2005-05-13,5+0,159878.43,4,1,0
2005-05-13,4+2,7742.29,59,14,0
2005-05-13,4+1,317.21,960,203,0
2005-05-13,4+0,147.93,1441,284,0
2005-05-13,3+2,94.34,3228,700,0
2005-05-13,3+1,29.92,51894,12672,0
2005-05-13,2+2,27.42,48856,11212,0
2005-05-13,3+0,18.20,78625,19948,0
2005-05-13,1+2,11.61,264813,61676,0
2005-05-13,2+1,9.19,794752,205112,0
2005-05-20,5+2,43020745.00,1,1,0
2005-05-20,5+1,385427.32,6,0,0
2005-05-20,5+0,93752.59,7,0,0
2005-05-20,4+2,3146.06,149,42,0
2005-05-20,4+1,193.50,1615,457,0
2005-05-20,4+0,92.14,2374,620,0
2005-05-20,3+2,52.09,5999,1773,0
2005-05-20,3+1,22.51,70792,18588,0
2005-05-20,2+2,16.78,81918,24295,0
2005-05-20,3+0,14.09,104209,26627,0
2005-05-20,1+2,7.78,405456,120594,0
2005-05-20,2+1,7.88,951144,253689,0
2005-05-27,5+2,15000000.00,0,0,1
2005-05-27,5+1,0.00,0,0,0
2005-05-27,5+0,248346.92,9,5,0
2005-05-27,4+2,5267.37,67,21,0
2005-05-27,4+1,310.39,758,166,0
2005-05-27,4+0,143.58,1147,234,0
2005-05-27,3+2,93.84,2507,539,0
2005-05-27,3+1,35.64,33664,7479,0
2005-05-27,2+2,27.78,37258,8598,0
2005-05-27,3+0,21.11,52377,11705,0
2005-05-27,1+2,11.20,212080,50940,0
2005-05-27,2+1,11.07,509866,118897,0
2005-06-03,5+2,23507298.00,0,0,1
2005-06-03,5+1,185245.48,10,3,0
2005-06-03,5+0,105139.32,5,2,0
2005-06-03,4+2,4267.01,88,25,0
2005-06-03,4+1,220.55,1135,264,0
2005-06-03,4+0,105.88,1655,432,0
2005-06-03,3+2,67.76,3694,1125,0
2005-06-03,3+1,23.93,53340,15372,0
2005-06-03,2+2,20.35,54106,16973,0
2005-06-03,3+0,15.62,75289,20719,0
2005-06-03,1+2,9.56,264460,80002,0
2005-06-03,2+1,7.94,755858,230315,0
2005-06-10,5+2,32391354.00,0,0,1
2005-06-10,5+1,395836.49,5,0,0
2005-06-10,5+0,140414.97,4,1,0
2005-06-10,4+2,6576.81,61,12,0
2005-06-10,4+1,326.96,818,173,0
2005-06-10,4+0,159.33,1175,222,0
2005-06-10,3+2,73.25,3651,843,0
2005-06-10,3+1,27.72,49202,11203,0
2005-06-10,2+2,28.23,41672,8805,0
2005-06-10,3+0,18.54,67800,16162,0
2005-06-10,1+2,11.80,228757,50764,0
2005-06-10,2+1,9.65,664832,151269,0
2005-06-17,5+2,41857660.40,0,0,1
2005-06-17,5+1,241670.03,9,2,0
2005-06-17,5+0,32486.22,19,6,0
2005-06-17,4+2,4740.69,93,21,0
2005-06-17,4+1,166.43,1766,525,0
2005-06-17,4+0,64.11,3209,1090,0
2005-06-17,3+2,72.50,4054,968,0
2005-06-17,3+1,21.97,68208,19259,0
2005-06-17,2+2,25.33,51042,11814,0
2005-06-17,3+0,11.53,119726,38998,0
2005-06-17,1+2,11.90,249349,56821,0
2005-06-17,2+1,8.41,838740,222729,0
2005-06-24,5+2,51872293.80,0,0,1
2005-06-24,5+1,471893.51,5,1,0
2005-06-24,5+0,74397.62,9,2,0
2005-06-24,4+2,7472.97,64,9,0
2005-06-24,4+1,268.84,1186,232,0
2005-06-24,4+0,136.01,1641,337,0
2005-06-24,3+2,96.62,3300,793,0
2005-06-24,3+1,27.70,58689,15119,0
2005-06-24,2+2,29.64,47324,10777,0
2005-06-24,3+0,17.84,83955,22008,0
2005-06-24,1+2,13.66,235655,55633,0
2005-06-24,2+1,8.59,890457,245711,0
2005-07-01,5+2,60359278.40,0,0,1
2005-07-01,5+1,317190.33,9,3,0
2005-07-01,5+0,202530.31,4,0,0
2005-07-01,4+2,4862.67,119,18,0
2005-07-01,4+1,233.23,1654,351,0
2005-07-01,4+0,117.25,2303,487,0
2005-07-01,3+2,78.74,4899,1154,0
2005-07-01,3+1,25.33,77671,19106,0
2005-07-01,2+2,23.42,72470,18266,0
2005-07-01,3+0,16.63,109021,26372,0
2005-07-01,1+2,10.76,361831,89199,0
2005-07-01,2+1,8.03,1152521,304715,0
2005-07-08,5+2,70600238.60,0,0,1
2005-07-08,5+1,492098.08,7,4,0
2005-07-08,5+0,61096.63,16,3,0
2005-07-08,4+2,6913.33,101,15,0
2005-07-08,4+1,332.02,1402,282,0
2005-07-08,4+0,167.10,1950,391,0
2005-07-08,3+2,107.35,4336,826,0
2005-07-08,3+1,39.69,59808,12128,0
2005-07-08,2+2,27.62,74153,16322,0
2005-07-08,3+0,24.48,89362,18043,0
2005-07-08,1+2,10.21,460419,117097,0
2005-07-08,2+1,12.10,922699,203827,0
2005-07-15,5+2,82972942.00,0,0,1
2005-07-15,5+1,416172.75,10,4,0
2005-07-15,5+0,65612.82,18,1,0
2005-07-15,4+2,5305.61,159,43,0
2005-07-15,4+1,233.16,2412,597,0
2005-07-15,4+0,106.89,3683,815,0
2005-07-15,3+2,72.39,7768,1974,0
2005-07-15,3+1,24.97,114828,29407,0
2005-07-15,2+2,22.73,108841,29527,0
2005-07-15,3+0,15.46,170888,40666,0
2005-07-15,1+2,10.31,550489,152279,0
2005-07-15,2+1,8.51,1585217,420844,0
2005-07-22,5+2,97582725.80,0,0,1
2005-07-22,5+1,1228549.99,4,0,0
2005-07-22,5+0,87160.64,16,2,0
2005-07-22,4+2,9486.87,105,27,0
2005-07-22,4+1,381.65,1740,317,0
2005-07-22,4+0,169.59,2741,534,0
2005-07-22,3+2,109.74,6051,1278,0
2005-07-22,3+1,37.54,90208,19613,0
2005-07-22,2+2,31.00,94253,22287,0
2005-07-22,3+0,21.87,142700,32519,0
2005-07-22,1+2,12.66,529733,133609,0
2005-07-22,2+1,11.02,1446120,349106,0
2005-07-29,5+2,115436126.00,1,0,0
2005-07-29,5+1,667248.25,9,1,0
2005-07-29,5+0,106511.75,16,4,0
2005-07-29,4+2,6339.98,192,51,0
2005-07-29,4+1,288.38,2814,621,0
2005-07-29,4+0,133.37,4259,998,0
2005-07-29,3+2,93.83,8648,1957,0
2005-07-29,3+1,30.63,135082,31807,0
2005-07-29,2+2,27.82,128348,29187,0
2005-07-29,3+0,19.90,191623,44209,0
2005-07-29,1+2,11.70,700001,167463,0
2005-07-29,2+1,9.26,2101652,540888,0
2005-08-05,5+2,15000000.00,0,0,1
2005-08-05,5+1,297880.43,8,2,0
2005-08-05,5+0,45084.60,15,3,0
2005-08-05,4+2,4128.62,117,31,0
2005-08-05,4+1,196.84,1636,544,0
2005-08-05,4+0,82.45,2734,889,0
2005-08-05,3+2,62.51,5151,1599,0
2005-08-05,3+1,25.28,64955,20542,0
2005-08-05,2+2,19.23,73673,22477,0
2005-08-05,3+0,13.64,110961,36167,0
2005-08-05,1+2,9.23,352278,104693,0
2005-08-05,2+1,8.81,876702,266730,0
2005-08-12,5+2,25184643.10,0,0,1
2005-08-12,5+1,805550.90,3,1,0
2005-08-12,5+0,68580.68,10,3,0
2005-08-12,4+2,5831.69,84,19,0
2005-08-12,4+1,260.42,1254,353,0
2005-08-12,4+0,118.07,1936,618,0
2005-08-12,3+2,86.34,3782,1048,0
2005-08-12,3+1,29.45,56539,16891,0
2005-08-12,2+2,26.25,54737,15290,0
2005-08-12,3+0,17.69,86735,28156,0
2005-08-12,1+2,10.99,300004,82176,0
2005-08-12,2+1,9.54,821235,237810,0
2005-08-19,5+2,35412949.70,0,0,1
2005-08-19,5+1,347334.21,7,0,0
2005-08-19,5+0,114995.78,6,2,0
2005-08-19,4+2,8960.71,55,16,0
2005-08-19,4+1,268.43,1224,346,0
2005-08-19,4+0,121.62,1891,456,0
2005-08-19,3+2,76.19,4312,1197,0
2005-08-19,3+1,26.86,62371,18168,0
2005-08-19,2+2,25.81,55997,16171,0
2005-08-19,3+0,16.57,93143,25782,0
2005-08-19,1+2,11.84,280043,78164,0
2005-08-19,2+1,9.68,813868,233181,0
2005-08-26,5+2,46170680.10,0,0,1
2005-08-26,5+1,869806.13,3,0,0
2005-08-26,5+0,92563.82,8,1,0
2005-08-26,4+2,8531.22,62,17,0
2005-08-26,4+1,370.40,952,268,0
2005-08-26,4+0,159.24,1550,395,0
2005-08-26,3+2,112.73,3128,814,0
2005-08-26,3+1,36.26,49596,14218,0
2005-08-26,2+2,29.76,52134,14487,0
2005-08-26,3+0,19.88,83359,25188,0
2005-08-26,1+2,12.02,296149,79701,0
2005-08-26,2+1,10.74,787911,229600,0
2005-09-02,5+2,57539078.40,0,0,1
2005-09-02,5+1,0.00,0,0,0
2005-09-02,5+0,401514.05,9,0,0
2005-09-02,4+2,6792.53,84,14,0
2005-09-02,4+1,328.76,1157,287,0
2005-09-02,4+0,152.93,1741,415,0
2005-09-02,3+2,102.06,3727,953,0
2005-09-02,3+1,33.48,57929,13582,0
2005-09-02,2+2,25.71,65076,17500,0
2005-09-02,3+0,19.87,89966,21698,0
2005-09-02,1+2,10.79,355757,99689,0
2005-09-02,2+1,9.60,950697,249974,0
2005-09-09,5+2,66468465.50,0,0,1
2005-09-09,5+1,375440.13,8,1,0
2005-09-09,5+0,85235.05,10,0,0
2005-09-09,4+2,5159.50,118,21,0
2005-09-09,4+1,237.63,1708,284,0
2005-09-09,4+0,105.07,2704,487,0
2005-09-09,3+2,96.77,4194,779,0
2005-09-09,3+1,27.33,75723,15673,0
2005-09-09,2+2,29.78,59950,12290,0
2005-09-09,3+0,16.34,116726,24752,0
2005-09-09,1+2,13.12,312411,66340,0
2005-09-09,2+1,9.06,1074223,239212,0
2005-09-16,5+2,75888514.00,1,0,0
2005-09-16,5+1,452651.64,7,1,0
2005-09-16,5+0,89918.63,10,3,0
2005-09-16,4+2,4587.68,140,38,0
2005-09-16,4+1,221.97,1929,450,0
2005-09-16,4+0,100.27,2989,738,0
2005-09-16,3+2,68.48,6252,1612,0
2005-09-16,3+1,23.92,91259,23043,0
2005-09-16,2+2,21.37,88129,22871,0
2005-09-16,3+0,14.84,135569,33181,0
2005-09-16,1+2,10.22,422847,104031,0
2005-09-16,2+1,8.11,1266599,317939,0
2005-09-23,5+2,15000000.00,0,0,1
2005-09-23,5+1,1150014.94,2,1,0
2005-09-23,5+0,217570.39,3,0,0
2005-09-23,4+2,10842.37,43,4,0
2005-09-23,4+1,394.93,787,162,0
2005-09-23,4+0,168.79,1289,285,0
2005-09-23,3+2,102.24,3040,647,0
2005-09-23,3+1,37.79,41936,9864,0
2005-09-23,2+2,27.87,49066,11498,0
2005-09-23,3+0,21.85,66844,16418,0
2005-09-23,1+2,11.03,284489,68543,0
2005-09-23,2+1,10.90,684024,169801,0
2005-09-30,5+2,6266595.00,4,0,0
2005-09-30,5+1,1188436.33,2,2,0
2005-09-30,5+0,134903.58,5,1,0
2005-09-30,4+2,6599.97,73,14,0
2005-09-30,4+1,311.54,1031,210,0
2005-09-30,4+0,151.30,1486,359,0
2005-09-30,3+2,96.51,3328,751,0
2005-09-30,3+1,32.28,50737,12935,0
2005-09-30,2+2,26.43,53458,12393,0
